Group,Channel,Intensity,Laplacian_Variance
Control_C18,Ch0,6225.662950624905,23106005.807248186
Control_C18,Ch1,2322.1407148681606,3524376.969224016
Control_C18,Ch2,1483.821375662056,84187.87748972863
Control_C4,Ch0,4166.946109569046,12975957.610835116
Control_C4,Ch1,1606.2624703889096,1643380.448321535
Control_C4,Ch2,1361.712594467485,103198.753557605
Control_GBA_C19,Ch0,3719.2225948928008,10828978.356303368
Control_GBA_C19,Ch1,1442.785475472489,1210679.182321648
Control_GBA_C19,Ch2,1379.1517510580195,79161.59489512765
Control_SNCA_C19,Ch0,2817.5424136421657,5968278.950000379
Control_SNCA_C19,Ch1,1442.3336502838745,1064606.3592059663
Control_SNCA_C19,Ch2,1020.6892302202409,56773.69285215925
Diverse_C18_005004_005006 플레이트는 핵이 너무 이상해서 제외,Ch0,6414.912066969593,23305575.479034882
Diverse_C18_005004_005006 플레이트는 핵이 너무 이상해서 제외,Ch1,2523.4042216249427,3548745.0497624185
Diverse_C18_005004_005006 플레이트는 핵이 너무 이상해서 제외,Ch2,1387.7001951874715,66870.15898041279
Diverse_GBA_005004_005006 플레이트는 핵이 너무 이상해서 버림,Ch0,8814.746723691129,31233318.519398116
Diverse_GBA_005004_005006 플레이트는 핵이 너무 이상해서 버림,Ch1,3555.27968873171,6956275.517150463
Diverse_GBA_005004_005006 플레이트는 핵이 너무 이상해서 버림,Ch2,2161.121821079104,110072.43386916321
GBA,Ch0,3434.090990748997,7957868.677589942
GBA,Ch1,1241.197362605421,1087768.1854206016
GBA,Ch2,1015.2111454116496,46252.12077596023
GBA_346,Ch0,3309.9383192463038,8070417.841286139
GBA_346,Ch1,1059.0436922267947,802322.005349135
GBA_346,Ch2,1417.7730320435146,75794.87125694161
LRRK2,Ch0,3813.3716404492457,11972959.159368418
LRRK2,Ch1,1199.4184976146928,899376.08281309
LRRK2,Ch2,1519.6702837105622,111677.12282427485
PINK1,Ch0,5129.602525139556,15821279.59367523
PINK1,Ch1,1461.7210370241771,1070900.9736146594
PINK1,Ch2,1557.047849893309,112575.74271339134
SNCA,Ch0,693.7949238641306,1183265.282361949
SNCA,Ch1,663.0917219022884,226761.30874075805
SNCA,Ch2,484.5661572819432,31324.398805012286
SNCA x3,Ch0,5687.633101290075,20587599.573812608
SNCA x3,Ch1,2603.6004576868704,2833621.08466722
SNCA x3,Ch2,2504.169480556436,194240.5421627431
SNCA-G51D,Ch0,5034.176491558071,17934506.446580093
SNCA-G51D,Ch1,2411.4676067043897,1854626.1608625904
SNCA-G51D,Ch2,1235.5705644975994,79297.88432999887
SNCA-G51D_isogenic,Ch0,5689.355742641175,20332289.577063207
SNCA-G51D_isogenic,Ch1,2414.0813538580246,1981376.9448069637
SNCA-G51D_isogenic,Ch2,1372.6593475565844,94600.8400999215
SNCA_isogenic,Ch0,3825.9778057556014,9249459.778509207
SNCA_isogenic,Ch1,1866.3864957733197,1483113.310280401
SNCA_isogenic,Ch2,1456.5372823807347,77860.09868962063
